Date,Team,Opponent,GoalsFor,GoalsAgainst,EloPre,EloPost,ExpWinProb,IsHome
1993-08-14,Arsenal,Coventry,0.0,3.0,1500.0,1488.2900264265638,0.5854986786718095,1
1993-08-16,Arsenal,Tottenham,1.0,0.0,1488.2900264265638,1500.6459464666896,0.38220399799371696,0
1993-08-21,Arsenal,Sheffield Weds,1.0,0.0,1500.6459464666896,1512.0701550654535,0.4287895700617985,0
1993-08-24,Arsenal,Leeds,2.0,1.0,1512.0701550654535,1519.9608319398274,0.6054661562813104,1
1993-08-28,Arsenal,Everton,2.0,0.0,1519.9608319398274,1528.1916450612744,0.5884593439276525,1
1993-09-01,Arsenal,Blackburn,1.0,1.0,1528.1916450612744,1529.6618178392491,0.4264913611012585,0
1993-09-11,Arsenal,Ipswich,4.0,0.0,1529.6618178392491,1537.5984423278398,0.6031687755704679,1
1993-09-19,Arsenal,Man United,0.0,1.0,1537.5984423278398,1529.2599496907942,0.41692463185228434,0
1993-09-25,Arsenal,Southampton,1.0,0.0,1529.2599496907942,1535.3045668951747,0.6977691397809784,1
1993-10-02,Arsenal,Liverpool,0.0,0.0,1535.3045668951747,1535.6944769126967,0.4805044991238965,0
1993-10-16,Arsenal,Man City,0.0,0.0,1535.6944769126967,1532.817313319029,0.6438581796833921,1
1993-10-23,Arsenal,Oldham,0.0,0.0,1532.817313319029,1532.378732701776,0.5219290308626416,0
1993-10-30,Arsenal,Norwich,0.0,0.0,1532.378732701776,1530.7595368187995,0.5809597941488228,1
1993-11-06,Arsenal,Aston Villa,1.0,2.0,1530.7595368187995,1519.1789765717822,0.5790280123508615,1
1993-11-20,Arsenal,Chelsea,2.0,0.0,1519.1789765717822,1529.3446283314286,0.4917174120176767,0
1993-11-24,Arsenal,West Ham,0.0,0.0,1529.3446283314286,1530.0972819505744,0.46236731904270745,0
1993-11-27,Arsenal,Newcastle,2.0,1.0,1530.0972819505744,1538.4851948452354,0.5806043552669458,1
1993-12-04,Arsenal,Coventry,0.0,1.0,1538.4851948452354,1528.6668807802348,0.49091570325002687,0
1993-12-06,Arsenal,Tottenham,1.0,1.0,1528.6668807802348,1525.7952465865108,0.6435817096861971,1
1993-12-12,Arsenal,Sheffield Weds,1.0,0.0,1525.7952465865108,1533.6275230091858,0.6083861788662445,1
1993-12-18,Arsenal,Leeds,1.0,2.0,1533.6275230091858,1525.7946802989936,0.3916421355096096,0
1993-12-27,Arsenal,Swindon,4.0,0.0,1525.7946802989936,1534.9374647361694,0.5428607781412131,0
1993-12-29,Arsenal,Sheffield United,3.0,0.0,1534.9374647361694,1540.8907284124703,0.7023368161849632,1
1994-01-01,Arsenal,Wimbledon,3.0,0.0,1540.8907284124703,1551.2786660913455,0.48060311605624184,0
1994-01-03,Arsenal,QPR,0.0,0.0,1551.2786660913455,1548.6394085913976,0.6319628749973939,1
1994-01-15,Arsenal,Man City,0.0,0.0,1548.6394085913976,1547.4250284195389,0.5607190085929292,0
1994-01-22,Arsenal,Oldham,1.0,1.0,1547.4250284195389,1542.6564221284866,0.7384303145526171,1
1994-02-13,Arsenal,Norwich,1.0,1.0,1542.6564221284866,1543.898643614091,0.43788892571978066,0
